chararts.id,chararts.id.no,chararts.id.name,char.profession,char.name.zh,char.name.pinyin,char.name.py,char.name.en,char.id,char.rarity,char.race,char.skill.1,char.skill.2,char.skill.3
char_002_amiya,002,amiya,术师,阿米娅,amiya,amy,Amiya,R001,5,卡特斯/奇美拉,战术咏唱·γ型,精神爆发,奇美拉
char_003_kalts,003,kalts,医疗,凯尔希,kaierxi,kex,Kal'tsit,B003,6,菲林,指令：结构加固,指令：战术协同,指令：熔毁
char_009_12fce,009,12fce,术师,12F,12F,12F,12F,R303,2,萨弗拉,,,
char_010_chen,010,chen,近卫,陈,chen,c,Ch'en,LM04,6,龙,鞘击,赤霄·拔刀,赤霄·绝影
char_017_huang,017,huang,近卫,煌,huang,h,Blaze,RE41,6,菲林,强力击·γ型,链锯延伸模块,沸腾爆裂
char_101_sora,101,sora,辅助,空,kong,k,Sora,PL05,5,因经纪公司要求不公开,睡眠之歌,战斗之歌,
char_102_texas,102,texas,先锋,德克萨斯,dekesasi,dkss,Texas,PL02,5,鲁珀,冲锋号令·γ型,剑雨,
char_103_angel,103,angel,狙击,能天使,nengtianshi,nts,Exusiai,PL03,6,萨科塔,冲锋模式,扫射模式,过载模式
char_106_franka,106,franka,近卫,芙兰卡,fulanka,flk,Franka,BS01,5,沃尔珀,迅捷打击·γ型,极致锋度,
char_107_liskam,107,liskam,重装,雷蛇,leishe,ls,Liskarm,BS02,5,瓦伊凡,充能防御,反击电弧,
char_108_silent,108,silent,医疗,赫默,hemo,hm,Silence,RL01,5,黎博利,治疗强化·γ型,医疗无人机,
char_109_fmout,109,fmout,术师,远山,yuanshan,ys,Gitano,SI01,4,埃拉菲亚,战术咏唱·β型,命运,
char_110_deepcl,110,deepcl,辅助,深海色,shenhaise,shs,Deepcolor,AA04,4,未公开,光影之触,视觉陷阱,
char_112_siege,112,siege,先锋,推进之王,tuijinzhiwang,tjzw,Siege,GG01,6,阿斯兰,冲锋号令·γ型,跃空锤,碎颅击
char_113_cqbw,113,cqbw,狙击,W,W,W,W,B214,6,萨卡兹,红桃K,惊吓盒子,D12
char_115_headbr,115,headbr,先锋,凛冬,lindong,ld,Зима,USS1,5,乌萨斯,冲锋号令·γ型,乌萨斯战吼,
char_117_myrrh,117,myrrh,医疗,末药,moyao,my,Myrrh,R104,4,沃尔珀,二重治疗,医疗力场,
char_118_yuki,118,yuki,狙击,白雪,baixue,bx,ShiraYuki,LM10,4,阿纳缇,敌飙,凝武,
char_120_hibisc,120,hibisc,医疗,芙蓉,furong,fr,Hibiscus,PA13,3,萨卡兹,治疗强化·α型,,
char_121_lava,121,lava,术师,炎熔,yanrong,yr,Lava,PA15,3,萨卡兹,战术咏唱·α型,,
char_122_beagle,122,beagle,重装,米格鲁,migelu,mgl,Beagle,PA14,3,佩洛,防御力强化·α型,,
char_123_fang,123,fang,先锋,芬,fen,f,Fang,PA11,3,库兰塔,冲锋号令·α型,,
char_124_kroos,124,kroos,狙击,克洛丝,keluosi,kls,Kroos,PA12,3,卡特斯,二连射·自动,,
char_126_shotst,126,shotst,狙击,流星,liuxing,lx,Meteor,ST02,4,库兰塔,碎甲击,碎甲击·扩散,
char_127_estell,127,estell,近卫,艾丝黛尔,aisidaier,asde,Estelle,IU04,4,阿达克利斯,攻击力强化·α型,舍身突击,
